audio_id,filename,path,class_label,duration,sampling_rate,channels,recording_environment,recording_device,source_distance,is_original,dataset_split
gunshot_0136,gunshot_0136.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\gunshot\gunshot_0136.wav,gunshot,3.0,16000,1,,,,1,train
aggression_0290,aggression_0290.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\aggression\aggression_0290.wav,aggression,3.0,16000,1,,,,1,train
panic_scream_0106,panic_scream_0106.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\panic_scream\panic_scream_0106.wav,panic_scream,3.0,16000,1,,,,1,train
gunshot_0164,gunshot_0164.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\gunshot\gunshot_0164.wav,gunshot,3.0,16000,1,,,,1,train
gunshot_0176,gunshot_0176.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\gunshot\gunshot_0176.wav,gunshot,3.0,16000,1,,,,1,train
alarm_siren_0267,alarm_siren_0267.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\alarm_siren\alarm_siren_0267.wav,alarm_siren,3.0,16000,1,,,,1,train
machinery_fault_0211,machinery_fault_0211.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\machinery_fault\machinery_fault_0211.wav,machinery_fault,3.0,16000,1,,,,1,train
panic_scream_0096,panic_scream_0096.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\panic_scream\panic_scream_0096.wav,panic_scream,3.0,16000,1,,,,1,train
vehicle_horn_0108,vehicle_horn_0108.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\vehicle_horn\vehicle_horn_0108.wav,vehicle_horn,3.0,16000,1,,,,1,train
machinery_fault_0119,machinery_fault_0119.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\machinery_fault\machinery_fault_0119.wav,machinery_fault,3.0,16000,1,,,,1,train
glass_breaking_0216,glass_breaking_0216.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\glass_breaking\glass_breaking_0216.wav,glass_breaking,3.0,16000,1,,,,1,train
animal_sound_0288,animal_sound_0288.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\animal_sound\animal_sound_0288.wav,animal_sound,3.0,16000,1,,,,1,train
animal_sound_0299,animal_sound_0299.wav,C:\Users\Afzal Compters\Desktop\Sonic-sentinal-AI\audio_dataset\originals\animal_sound\animal_sound_0299.wav,animal_sound,3.0,16000,1,,,,1,train
